sample_index,GHSOM_cluster,metadata_index
1664,9,1664
1665,9,1665
1666,8,1666
1667,27,1667
1668,20,1668
1669,27,1669
1670,7,1670
1671,9,1671
1672,20,1672
1673,9,1673
1674,9,1674
1675,8,1675
1676,3,1676
1677,8,1677
1678,12,1678
1679,13,1679
1680,12,1680
1681,13,1681
1682,12,1682
1683,13,1683
1684,9,1684
1685,6,1685
1686,10,1686
1687,7,1687
1688,15,1688
1689,9,1689
1690,10,1690
1691,17,1691
1692,25,1692
1693,10,1693
1694,28,1694
1695,21,1695
1696,6,1696
1697,24,1697
1698,12,1698
1699,8,1699
1700,3,1700
1701,25,1701
1702,8,1702
1703,7,1703
1704,7,1704
1705,12,1705
1706,8,1706
1707,9,1707
1708,6,1708
1709,25,1709
1710,7,1710
1711,8,1711
1712,8,1712
1713,9,1713
1714,14,1714
1715,10,1715
1716,7,1716
1717,21,1717
1718,7,1718
1719,13,1719
1720,19,1720
1721,7,1721
1722,13,1722
1723,10,1723
1724,4,1724
1725,28,1725
1726,7,1726
1727,15,1727
1728,14,1728
1729,26,1729
1730,12,1730
1731,6,1731
1732,20,1732
1733,20,1733
1734,8,1734
1735,13,1735
1736,7,1736
1737,17,1737
1738,17,1738
1739,20,1739
1740,24,1740
1741,7,1741
1742,14,1742
1743,27,1743
1744,8,1744
1745,14,1745
1746,7,1746
1747,14,1747
1748,21,1748
1749,7,1749
1750,7,1750
1751,14,1751
1752,3,1752
1753,14,1753
1754,6,1754
1755,12,1755
1756,9,1756
1757,7,1757
1758,12,1758
1759,9,1759
1760,21,1760
1761,8,1761
1762,13,1762
1763,9,1763
1764,24,1764
1765,9,1765
1766,12,1766
1767,19,1767
1768,10,1768
1769,8,1769
1770,3,1770
1771,17,1771
1772,27,1772
1773,9,1773
1774,3,1774
1775,24,1775
1776,8,1776
1777,13,1777
1778,14,1778
1779,15,1779
1780,26,1780
1781,27,1781
1782,9,1782
1783,7,1783
1784,8,1784
1785,7,1785
1786,4,1786
1787,17,1787
1788,3,1788
1789,8,1789
1790,25,1790
1791,6,1791
1792,14,1792
1793,3,1793
1794,10,1794
1795,10,1795
1796,17,1796
1797,25,1797
1798,6,1798
1799,10,1799
1800,10,1800
1801,9,1801
1802,17,1802
1803,14,1803
1804,8,1804
1805,7,1805
1806,7,1806
1807,6,1807
1808,28,1808
1809,17,1809
1810,7,1810
1811,8,1811
1812,12,1812
1813,20,1813
1814,3,1814
1815,12,1815
1816,7,1816
1817,9,1817
1818,13,1818
1819,7,1819
1820,7,1820
1821,9,1821
1822,5,1822
1823,8,1823
1824,7,1824
1825,13,1825
1826,21,1826
1827,9,1827
1828,14,1828
1829,17,1829
1830,14,1830
1831,10,1831
1832,14,1832
1833,7,1833
1834,8,1834
1835,9,1835
1836,9,1836
1837,13,1837
1838,9,1838
1839,8,1839
1840,13,1840
1841,8,1841
1842,14,1842
1843,9,1843
1844,7,1844
1845,15,1845
1846,27,1846
1847,3,1847
1848,7,1848
1849,9,1849
1850,8,1850
1851,24,1851
1852,8,1852
1853,8,1853
1854,7,1854
1855,17,1855
1856,21,1856
1857,7,1857
1858,12,1858
1859,7,1859
1860,13,1860
1861,22,1861
1862,20,1862
1863,10,1863
1864,25,1864
1865,13,1865
1866,13,1866
1867,6,1867
1868,9,1868
1869,17,1869
1870,3,1870
1871,10,1871
1872,7,1872
1873,4,1873
1874,7,1874
1875,7,1875
1876,12,1876
1877,22,1877
1878,8,1878
1879,27,1879
1880,9,1880
1881,14,1881
1882,21,1882
1883,24,1883
1884,9,1884
1885,6,1885
1886,21,1886
1887,7,1887
1888,25,1888
1889,7,1889
1890,9,1890
1891,12,1891
1892,14,1892
1893,10,1893
1894,7,1894
1895,15,1895
1896,10,1896
1897,10,1897
1898,7,1898
1899,14,1899
1900,17,1900
1901,4,1901
1902,14,1902
1903,12,1903
1904,9,1904
1905,3,1905
1906,13,1906
1907,12,1907
1908,20,1908
1909,8,1909
1910,28,1910
1911,10,1911
1912,14,1912
1913,8,1913
1914,14,1914
1915,13,1915
1916,27,1916
1917,27,1917
1918,8,1918
1919,10,1919
1920,8,1920
1921,7,1921
1922,6,1922
1923,9,1923
1924,8,1924
1925,20,1925
1926,7,1926
1927,28,1927
1928,9,1928
1929,12,1929
1930,4,1930
1931,27,1931
1932,13,1932
1933,8,1933
1934,21,1934
1935,27,1935
1936,14,1936
1937,10,1937
1938,17,1938
1939,25,1939
1940,27,1940
1941,20,1941
1942,7,1942
1943,7,1943
1944,24,1944
1945,9,1945
1946,27,1946
1947,25,1947
1948,9,1948
1949,13,1949
1950,13,1950
1951,8,1951
1952,4,1952
1953,4,1953
1954,13,1954
1955,27,1955
1956,10,1956
1957,10,1957
1958,27,1958
1959,22,1959
1960,27,1960
1961,7,1961
1962,6,1962
1963,9,1963
1964,27,1964
1965,3,1965
1966,10,1966
1967,27,1967
1968,8,1968
1969,14,1969
