,pm_note_count,pm_length_seconds,pm_pitch_range_min_freq,pm_pitch_range_min_note,pm_pitch_range_max_freq,pm_pitch_range_max_note,pm_average_pitch_hz,pm_average_velocity,pm_interval_range_min,pm_interval_range_max,pm_energy,pm_groove,pm_max_polyphony,pm_average_polyphony,pm_instrument_count,pm_note_density,pm_bar_count,pm_tempo_bpm,muspy_pitch_range,muspy_n_pitches_used,muspy_n_pitch_classes_used,muspy_polyphony,muspy_scale_consistency,muspy_pitch_entropy,muspy_pitch_class_entropy,muspy_empty_beat_rate,muspy_drum_in_pattern_rate_duple,muspy_drum_in_pattern_rate_triple,muspy_drum_pattern_consistency,muspy_groove_consistency,muspy_empty_measure_rate,theory_centricity,theory_limited_macroharmony,theory_conjuction_melody_motion,theory_general_tonality
muspy_n_pitch_classes_used,0.10671859848093977,0.47293114580627993,-0.09190508101788253,-0.09686824244818279,0.10523244411325429,0.21718099632040397,0.009860676324358005,-0.23375767032752454,-0.26581247403664116,0.2058031606937828,-0.06145592396900584,-0.1256157569579093,0.08443950921004793,0.19787617238911626,,0.0016258933301954177,0.3903374390665203,0.0321387905035493,0.42205682559396845,0.8015303545224988,1.0,-0.05142046763964391,-0.32359378300371716,0.8467240101957525,0.9311055824279004,-0.3005133659924763,,,,-0.34343458610326705,-0.3005133659924763,-0.706303357886066,0.41012028538718565,-0.001491457756395023,0.004621667693734052
muspy_polyphony,0.17217376181601313,-0.00098623908629505,-0.1596922607292971,-0.17093508345846264,0.26965634262049,0.35250169990922753,0.10399806662802057,0.17644108714765727,-0.7189063737438095,0.6672868538616591,0.11251582714767241,0.5614474751544295,0.7508469382401428,0.6839697543982864,,0.15965110142522254,-0.12526796517896321,-0.03541233821789274,0.702116110537373,0.45010186993499474,-0.05142046763964391,1.0,-0.012925286429289052,0.3465932914071753,-0.07365070509513309,-0.0822390524012622,,,,0.060112907926905754,-0.0822390524012622,-0.27356303882155236,-0.4053715610755628,0.9256576217850729,0.9091113855920846
muspy_scale_consistency,-0.004864123260515069,-0.13990643208452255,-0.028884392487882257,-0.02932097610146675,-0.00623212798407495,-0.031922316473275245,-0.012950357345487563,-0.02988053250550437,0.003881442214825694,0.0734315291885584,0.02377363286198311,-0.03324387572390267,-0.02411296474758694,0.056340633536809424,,0.03400906273521439,-0.07386674805159921,-0.018415638852283853,-0.0077554345992756875,-0.2656781845653824,-0.32359378300371716,-0.012925286429289052,1.0,-0.23876663992079822,-0.267375780143504,-0.039370928226159535,,,,0.09298644802367863,-0.039370928226159535,0.19368132058135204,0.023611164404908524,0.11659128718736907,0.13374680537050807
muspy_pitch_entropy,0.13797503872552117,0.40560904660739877,-0.20415335209809576,-0.22203129745775912,0.2140139496091326,0.3442701122529041,0.03800957812539958,-0.17483326730747661,-0.6198845858688239,0.5255453917827133,-0.0066898295249053765,0.13032205876105313,0.37364283271626086,0.4975666915277825,,0.042810613941453544,0.27644996774722613,-0.0032966434090301133,0.7543672316604106,0.8945802211771561,0.8467240101957525,0.3465932914071753,-0.23876663992079822,1.0,0.8869282022053613,-0.35950422907191676,,,,-0.21437415711082786,-0.35950422907191676,-0.8849783292366231,0.2576009801890931,0.4723560506004731,0.473674429033846
muspy_pitch_class_entropy,0.06634860104333103,0.43867146323454936,-0.1342987854817165,-0.14089606141504785,0.06052447257807522,0.1649193028159788,-0.036379652836982,-0.2682212662688224,-0.2592024178415214,0.1494939277196335,-0.05692302528652167,-0.13269564328264527,0.05972281527423615,0.22379756587043834,,-0.028361941446309352,0.3677907737904129,0.022046572220573015,0.4044065105706389,0.7200880237070189,0.9311055824279004,-0.07365070509513309,-0.267375780143504,0.8869282022053613,1.0,-0.34838529505572363,,,,-0.25332295215004236,-0.34838529505572363,-0.7842802808646392,0.4941604849210902,-0.008686947149944488,0.0017792226259961774
muspy_empty_beat_rate,-0.15349242147166425,-0.1748083784200168,0.23672691062074291,0.20573103592781758,0.08405657300298801,0.009363161822781896,0.1650930433470568,0.2285331017726314,0.1811239282857246,-0.16224980648144466,-0.057191488960815225,0.09084669037776626,-0.15465652885243553,-0.6374703415764317,,-0.13132724485879735,0.04877267321804949,0.269427165774803,-0.2433767306551729,-0.2755804122048332,-0.3005133659924763,-0.0822390524012622,-0.039370928226159535,-0.35950422907191676,-0.34838529505572363,1.0,,,,0.26696380968019684,1.0,0.1198041201775604,0.08865526483326676,-0.21710208195920463,-0.21105387151379978
muspy_drum_in_pattern_rate_duple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
muspy_drum_in_pattern_rate_triple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
muspy_drum_pattern_consistency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
muspy_groove_consistency,-0.2139948888542566,-0.2208407696744222,0.06648182540531876,0.07240007308687878,0.013147137104409318,0.005452287884047439,0.03171633093008845,0.03664164065611314,0.008787477474715043,0.06587340714125542,-0.07654472250187941,0.17045922878913636,0.004969941956973729,0.020259109783793968,,-0.2238119723026273,-0.11345122317053462,0.07168217594936695,-0.08265495691257957,-0.26247633715509455,-0.34343458610326705,0.060112907926905754,0.09298644802367863,-0.21437415711082786,-0.25332295215004236,0.26696380968019684,,,,1.0,0.26696380968019756,-0.1569093780547213,0.11892616513412241,0.20243519982491345,0.21516605182779905
muspy_empty_measure_rate,-0.15349242147166425,-0.1748083784200168,0.23672691062074291,0.20573103592781758,0.08405657300298801,0.009363161822781896,0.1650930433470568,0.2285331017726314,0.1811239282857246,-0.16224980648144466,-0.057191488960815225,0.09084669037776626,-0.15465652885243553,-0.6374703415764317,,-0.13132724485879735,0.04877267321804949,0.269427165774803,-0.2433767306551729,-0.2755804122048332,-0.3005133659924763,-0.0822390524012622,-0.039370928226159535,-0.35950422907191676,-0.34838529505572363,1.0,,,,0.26696380968019756,1.0,0.1198041201775604,0.08865526483326676,-0.21710208195920463,-0.21105387151379978
theory_centricity,0.34575729905698316,-0.23149051328236808,0.16349183650741314,0.1597728659742305,-0.1384108380972957,-0.3063709604032558,-0.020809086730442728,0.24213747930270899,0.5267447545931048,-0.511097240093817,0.3490837936438909,-0.23182890304318712,-0.28095516258786885,-0.4396384130292945,,0.446114593547265,-0.15494468225027438,-0.03479077199652319,-0.5957191067299629,-0.6887842287416371,-0.706303357886066,-0.27356303882155236,0.19368132058135204,-0.8849783292366231,-0.7842802808646392,0.1198041201775604,,,,-0.1569093780547213,0.1198041201775604,1.0,-0.4352388457983585,-0.44736267065005336,-0.4599998938554058
theory_limited_macroharmony,-0.31421302472624274,-0.08158703705348874,0.16356892936962283,0.18360858869651558,0.0011077244514476788,0.09476087267585293,0.05352487686672558,-0.08449300998973867,0.17556581636112958,-0.040057806221044226,-0.2626693007892824,-0.2530819135563361,-0.28275177294571374,-0.15152424009422835,,-0.31320359395698794,0.3412825206596272,0.3748708478831964,-0.09314400674182023,-0.0015142413373187876,0.41012028538718565,-0.4053715610755628,0.023611164404908524,0.2576009801890931,0.4941604849210902,0.08865526483326676,,,,0.11892616513412241,0.08865526483326676,-0.4352388457983585,1.0,-0.22012966926303054,-0.1489700342201021
theory_conjuction_melody_motion,0.05879968221097805,0.17586559585686642,-0.2632238366872971,-0.3005197655499305,0.258201948734904,0.35349229689963313,0.08146120861880234,-0.014017922086416841,-0.9009753537654873,0.8175307002972184,-0.006602658887303742,0.6211628680846105,0.7113691464472688,0.7507205239131688,,-0.012585184614549865,-0.20493978344748495,-0.2628811774654849,0.8256388994957461,0.547941548448121,-0.001491457756395023,0.9256576217850729,0.11659128718736907,0.4723560506004731,-0.008686947149944488,-0.21710208195920463,,,,0.20243519982491345,-0.21710208195920463,-0.44736267065005336,-0.22012966926303054,1.0,0.9967419506896721
theory_general_tonality,0.0466178401959953,0.16313746670193208,-0.24921583372578723,-0.28621367671937875,0.2621379355077594,0.3625043671648016,0.08931491220711789,-0.01097268882779505,-0.8940930206167876,0.8218274209628201,-0.016080265759670836,0.609550992645942,0.6980120272065492,0.7444115589465028,,-0.022567304752872934,-0.18643496695217454,-0.23726664264987238,0.8205372119512152,0.5358367918976481,0.004621667693734052,0.9091113855920846,0.13374680537050807,0.473674429033846,0.0017792226259961774,-0.21105387151379978,,,,0.21516605182779905,-0.21105387151379978,-0.4599998938554058,-0.1489700342201021,0.9967419506896721,1.0
