feature_1,feature_2,mutual_information
muspy_n_pitch_classes_used,muspy_polyphony,0.13227779142370188
pm_max_polyphony,muspy_n_pitches_used,0.1296575686903716
pm_pitch_range_min_freq,theory_general_tonality,0.12273688812228922
pm_average_pitch_hz,muspy_scale_consistency,0.12253661698084439
muspy_empty_beat_rate,theory_conjuction_melody_motion,0.12174505084383247
muspy_empty_measure_rate,theory_conjuction_melody_motion,0.12174505084383247
pm_pitch_range_min_note,muspy_empty_measure_rate,0.120812848113097
pm_pitch_range_min_note,muspy_empty_beat_rate,0.120812848113097
muspy_scale_consistency,theory_centricity,0.11637715940879145
pm_length_seconds,pm_max_polyphony,0.1138763122116071
pm_interval_range_min,muspy_empty_beat_rate,0.11354027525578836
pm_interval_range_min,muspy_empty_measure_rate,0.11354027525578836
muspy_polyphony,muspy_pitch_class_entropy,0.11339629051698674
pm_pitch_range_max_note,theory_limited_macroharmony,0.11055195857841582
pm_groove,muspy_scale_consistency,0.10957690428738776
pm_interval_range_max,muspy_empty_measure_rate,0.10550325137024164
pm_interval_range_max,muspy_empty_beat_rate,0.10550325137024164
pm_average_velocity,pm_max_polyphony,0.10522170416749432
pm_average_pitch_hz,muspy_empty_beat_rate,0.10457006576491423
pm_average_pitch_hz,muspy_empty_measure_rate,0.10457006576491423
muspy_empty_beat_rate,theory_centricity,0.10456563551393838
muspy_empty_measure_rate,theory_centricity,0.10456563551393838
muspy_polyphony,theory_limited_macroharmony,0.09930265448648168
muspy_empty_measure_rate,theory_general_tonality,0.09907464327946913
muspy_empty_beat_rate,theory_general_tonality,0.09907464327946913
muspy_scale_consistency,theory_general_tonality,0.09692827309905105
muspy_polyphony,muspy_empty_measure_rate,0.0931241570693242
muspy_polyphony,muspy_empty_beat_rate,0.0931241570693242
muspy_scale_consistency,theory_conjuction_melody_motion,0.0898680391889295
pm_max_polyphony,theory_centricity,0.08922397686372374
pm_energy,muspy_scale_consistency,0.08170585549829745
muspy_scale_consistency,theory_limited_macroharmony,0.07714428491590208
pm_average_pitch_hz,pm_max_polyphony,0.07535932136100332
pm_max_polyphony,pm_tempo_bpm,0.07011557968606752
muspy_pitch_range,muspy_scale_consistency,0.06902012696630866
pm_pitch_range_max_freq,theory_limited_macroharmony,0.06889561687224788
pm_pitch_range_max_freq,muspy_empty_beat_rate,0.066010939332239
pm_pitch_range_max_freq,muspy_empty_measure_rate,0.066010939332239
pm_average_velocity,muspy_scale_consistency,0.06345543162553824
pm_max_polyphony,muspy_groove_consistency,0.06307733264531312
pm_interval_range_max,muspy_scale_consistency,0.062069461555053884
muspy_empty_measure_rate,theory_limited_macroharmony,0.061971091479378515
muspy_empty_beat_rate,theory_limited_macroharmony,0.061971091479378515
pm_pitch_range_max_note,muspy_empty_measure_rate,0.061735408927479085
pm_pitch_range_max_note,muspy_empty_beat_rate,0.061735408927479085
pm_pitch_range_min_freq,muspy_scale_consistency,0.058850620541919696
pm_pitch_range_max_note,pm_max_polyphony,0.05692695204280529
muspy_scale_consistency,muspy_empty_beat_rate,0.048025552403232474
muspy_scale_consistency,muspy_empty_measure_rate,0.048025552403232474
pm_pitch_range_max_note,muspy_scale_consistency,0.047129484398923616
pm_pitch_range_min_note,muspy_scale_consistency,0.04677021739924747
pm_pitch_range_min_freq,pm_instrument_count,0.042494202378995816
pm_pitch_range_max_freq,muspy_scale_consistency,0.04181575624134526
pm_pitch_range_max_freq,pm_max_polyphony,0.03537435566145852
pm_note_count,pm_max_polyphony,0.03150501806232597
pm_pitch_range_min_note,pm_instrument_count,0.029253719407494216
pm_max_polyphony,pm_bar_count,0.0275562576862054
pm_pitch_range_min_freq,pm_max_polyphony,0.025618292004925713
pm_instrument_count,muspy_n_pitch_classes_used,0.02432983263054833
pm_pitch_range_min_note,pm_max_polyphony,0.023518643942078477
pm_max_polyphony,muspy_empty_beat_rate,0.021844871735252624
