sample_index,GHSOM_cluster,metadata_index
1377,9,1377
1378,4,1378
1379,15,1379
1380,13,1380
1381,4,1381
1382,26,1382
1383,15,1383
1384,4,1384
1385,27,1385
1386,25,1386
1387,7,1387
1388,22,1388
1389,5,1389
1390,21,1390
1391,15,1391
1392,9,1392
1393,13,1393
1394,4,1394
1395,23,1395
1396,15,1396
1397,4,1397
1398,26,1398
1399,23,1399
1400,23,1400
1401,21,1401
1402,25,1402
1403,21,1403
1404,22,1404
1405,26,1405
1406,20,1406
1407,26,1407
1408,8,1408
1409,10,1409
1410,15,1410
1411,26,1411
1412,22,1412
1413,12,1413
1414,8,1414
1415,15,1415
1416,25,1416
1417,18,1417
1418,23,1418
1419,13,1419
1420,23,1420
1421,8,1421
1422,21,1422
1423,2,1423
1424,28,1424
1425,5,1425
1426,26,1426
1427,9,1427
1428,23,1428
1429,25,1429
1430,22,1430
1431,5,1431
1432,2,1432
1433,23,1433
1434,18,1434
1435,5,1435
1436,9,1436
1437,4,1437
1438,21,1438
1439,14,1439
1440,13,1440
1441,5,1441
1442,7,1442
1443,5,1443
1444,7,1444
1445,23,1445
1446,7,1446
1447,8,1447
1448,26,1448
1449,23,1449
1450,2,1450
1451,5,1451
1452,13,1452
1453,27,1453
1454,4,1454
1455,7,1455
1456,8,1456
1457,27,1457
1458,27,1458
1459,9,1459
1460,23,1460
1461,23,1461
1462,5,1462
1463,15,1463
1464,14,1464
1465,7,1465
1466,27,1466
1467,18,1467
1468,5,1468
1469,5,1469
1470,4,1470
1471,13,1471
1472,26,1472
1473,5,1473
1474,7,1474
1475,4,1475
1476,27,1476
1477,8,1477
1478,21,1478
1479,21,1479
1480,26,1480
1481,15,1481
1482,19,1482
1483,13,1483
1484,22,1484
1485,25,1485
1486,18,1486
1487,2,1487
1488,27,1488
1489,15,1489
1490,3,1490
1491,14,1491
1492,9,1492
1493,9,1493
1494,27,1494
1495,23,1495
1496,15,1496
1497,21,1497
1498,23,1498
1499,7,1499
1500,2,1500
1501,22,1501
1502,13,1502
1503,9,1503
1504,23,1504
1505,5,1505
1506,12,1506
1507,14,1507
1508,26,1508
1509,22,1509
1510,15,1510
1511,18,1511
1512,5,1512
1513,26,1513
1514,26,1514
1515,2,1515
1516,15,1516
1517,13,1517
1518,15,1518
1519,13,1519
1520,27,1520
1521,9,1521
1522,26,1522
1523,25,1523
1524,7,1524
1525,21,1525
1526,5,1526
1527,26,1527
1528,7,1528
1529,13,1529
1530,15,1530
1531,7,1531
1532,23,1532
1533,10,1533
1534,13,1534
1535,26,1535
1536,13,1536
1537,5,1537
1538,5,1538
1539,27,1539
1540,18,1540
1541,5,1541
1542,5,1542
1543,27,1543
1544,26,1544
1545,14,1545
1546,15,1546
