metadata_index,dim1,dim2
573,7.150917,13.550955
574,1.1377842,11.855317
575,2.6054509,3.5118053
576,-1.0944303,6.030814
577,-0.32912484,5.3349943
578,8.867132,13.663655
579,-0.19653004,4.251703
580,10.491312,10.23728
581,-0.005986259,4.4495716
582,6.892804,13.670991
583,9.186341,2.6307962
584,11.392915,6.369671
585,9.70559,10.018523
586,10.770852,10.514204
587,9.985309,10.506042
588,10.913869,6.782058
589,4.350635,8.253521
590,3.5660214,13.663812
591,10.525031,9.591639
592,9.329533,9.586753
593,10.250869,7.63707
594,8.100065,13.945856
595,10.195019,7.394782
596,-0.09951267,10.563187
597,12.358379,1.5736116
598,10.494135,11.036704
599,10.973917,6.6712112
600,10.317914,3.3389153
601,-0.123757094,10.531513
602,2.7393794,3.3890724
603,10.651772,9.661851
604,8.791256,2.7179022
605,11.432551,10.191156
606,4.4268713,8.260252
607,2.611014,3.7574456
608,-0.12432274,4.357299
609,4.3504624,13.701122
610,8.199013,3.5358684
611,9.139793,2.8915806
612,1.659085,6.525208
613,11.062659,9.825293
614,2.1056774,4.62523
615,2.5466635,3.786435
616,8.130298,12.078257
617,0.1118468,10.62469
618,0.23694852,4.520875
619,10.5735035,9.867902
620,-0.11783222,4.3231106
621,4.42232,8.249306
622,4.004481,13.516251
623,10.3358,10.218148
624,11.287459,10.024321
625,8.508618,2.94894
626,11.066732,6.0273876
627,7.6730084,13.931025
628,2.729444,3.73379
629,1.4675562,5.2499638
630,8.962203,13.638151
631,-0.54977775,10.805074
632,11.198069,10.138467
633,-0.9619575,10.999917
634,8.664392,2.7878997
635,0.1525471,4.62255
636,3.9459336,13.493503
637,8.56125,2.9520988
638,2.6323488,3.7590227
639,8.762958,13.679438
640,10.444922,11.115951
641,1.0682718,11.873316
642,2.683708,3.4966776
643,11.024576,6.415544
644,2.6096168,3.7710624
645,9.385185,2.6035173
646,1.5912652,6.0235195
647,8.111007,15.829919
648,9.681061,9.619744
649,8.924783,13.586775
650,7.833516,14.122279
651,-0.18005696,4.278885
652,11.225207,10.006825
653,10.198656,7.383428
654,1.2947785,5.322879
655,4.3448033,8.343619
656,13.490952,1.2514123
657,2.0704076,8.915442
658,9.94452,9.52922
659,2.7257328,3.4828365
660,2.5398982,3.715104
661,7.853114,14.124258
662,-0.4567121,11.195654
663,-0.27121633,5.6647053
664,-0.3351107,10.866965
665,8.9309435,13.4289
666,7.700695,14.255119
667,1.5519108,6.540217
668,11.430853,10.213853
669,9.788061,10.248259
670,8.365423,3.040072
671,-0.13903043,10.541918
672,9.4798975,3.09307
673,10.098018,3.1212912
674,4.5679984,13.764844
675,1.3641558,4.569369
676,1.280011,5.3032966
677,10.057171,10.706981
678,2.6664083,3.635581
679,12.53552,12.051952
680,9.361987,13.439492
681,10.283617,10.645571
682,11.4475765,10.234598
683,10.747448,9.890005
684,2.3988802,4.1062393
685,9.876928,10.715297
686,9.436248,3.0997777
687,10.186176,7.372253
688,-0.6085499,10.7901945
689,9.49103,13.334329
690,7.8203874,14.445686
691,8.726315,14.424742
692,9.258536,2.744841
693,4.511909,13.766042
694,1.5914198,6.667553
695,-0.19772416,4.2413363
696,11.364678,6.2762237
697,10.804608,10.318798
698,0.20248766,4.523045
699,9.504081,2.5381308
700,9.805597,3.102002
701,9.718173,3.2825787
702,-0.49876016,10.946279
703,-0.25716734,5.606096
704,-0.20231755,10.980915
705,0.2145732,4.50112
706,1.6635209,6.341871
707,1.353443,5.9733706
708,9.57432,12.240651
709,-0.4147954,10.858052
710,11.488583,10.295037
711,10.069942,9.620062
712,-2.3309686,13.088777
713,10.049523,10.743426
714,8.926729,2.6353545
715,6.906635,13.6872835
716,0.056316912,4.4049497
717,9.949943,12.299305
718,3.891911,8.641873
719,9.463268,12.327148
720,1.3597819,5.406057
721,1.8168362,5.793306
722,9.832599,2.9422765
723,11.158926,10.001402
724,2.358706,9.32583
725,9.690166,3.2386844
726,10.015546,11.687516
727,9.753573,10.175892
728,9.4409,13.327073
729,10.614266,10.2353945
730,2.7002845,3.6147094
731,9.824143,3.3499727
732,1.9163752,6.1204433
733,9.832181,13.071202
734,1.5004647,6.027749
735,-0.11837532,4.4481173
736,1.9337877,5.4375124
737,10.765991,10.3798685
738,9.095281,11.852298
739,9.659739,2.950605
740,10.84402,5.707077
741,1.373143,4.566564
742,0.6858109,4.499505
743,2.2604895,4.1757736
744,9.787722,13.003601
745,7.585131,13.3330965
746,10.584912,10.116059
747,9.994478,11.5063095
748,10.918848,6.2741876
749,-0.17579393,10.752454
750,7.6314473,14.049725
751,2.2287068,4.203923
752,-0.21074283,10.834419
753,10.07034,13.527558
754,1.3599334,4.557514
755,2.6394527,3.6121578
756,11.436415,10.202895
757,0.06543752,4.4317408
758,9.858709,10.234508
759,-0.15916161,4.2662168
760,10.070623,11.71012
761,9.598366,3.179152
762,2.3379014,9.2769375
763,11.4126,6.3555307
764,9.200183,2.544566
765,2.1776214,4.3297286
766,10.118993,3.5122728
767,10.459143,3.238058
768,13.262636,1.8714951
769,1.6380423,6.525089
770,10.572113,5.778675
771,-1.0178527,10.575156
772,-0.052565753,4.6443553
773,6.938557,13.641256
774,10.825436,5.5818205
775,11.442449,10.22776
776,9.85649,3.2745876
777,1.7933255,5.7973475
778,9.9249325,3.1195633
779,-0.16156112,10.865733
780,9.907951,12.993282
781,0.0013193449,4.555686
782,7.2241964,13.624949
783,10.173645,3.3397667
784,9.731596,2.8243706
785,9.765351,10.509416
786,1.8333958,6.3603644
787,2.2616754,14.684406
788,9.8047905,3.2839625
789,10.080488,11.522955
790,-0.32672283,10.750629
791,4.3322506,13.395407
792,10.041928,12.169054
793,2.3925536,9.292358
794,13.318503,1.9019206
795,10.581786,9.81213
796,10.096532,10.5914545
797,10.716332,5.4281034
798,1.8810574,8.690988
799,1.0150458,11.937006
800,10.046616,10.739696
801,-0.0031064223,4.395207
802,9.634018,2.6907356
803,2.3697338,9.345175
804,11.30209,10.007359
805,11.516011,10.058396
806,11.488284,10.34343
807,1.6218307,5.809065
808,0.07385867,4.4952364
809,2.0371993,8.875357
810,13.44005,2.16202
811,0.04171323,4.4006248
812,7.3158917,13.491122
813,0.10799615,4.5594473
814,9.051401,2.7934682
815,9.567779,2.589465
816,10.020364,12.350562
817,1.4376316,6.1368504
818,10.164702,3.2794936
819,1.8953482,6.1700034
820,10.005633,12.278801
821,10.252997,11.267655
822,-0.30510432,5.2899127
823,1.9326437,5.7944818
824,4.592618,13.734419
825,1.7383039,6.462506
826,0.13921992,4.5158305
827,3.9340403,8.803318
828,10.481324,9.773915
829,1.8107548,5.815437
830,8.911153,2.5747201
831,1.8820934,8.757881
832,8.571145,14.486023
833,0.080661096,4.534693
834,4.634507,13.684668
835,0.038521133,4.384705
836,-0.18283205,10.823371
837,-0.19333592,4.2632194
838,8.901881,13.866171
839,10.514427,5.77831
840,10.175742,9.518441
841,0.31553745,10.967024
842,-0.2322012,4.2106895
843,-0.10589321,4.9522166
844,10.916692,5.705999
845,9.326893,12.562097
846,0.96890944,11.964568
847,2.3010728,4.1699085
848,10.150589,9.869414
849,10.043455,11.849794
850,8.787376,13.72088
851,11.473756,10.147664
852,9.623937,13.253299
853,-0.3066433,5.7447243
854,1.9360045,6.0385275
855,10.781942,10.24504
856,10.873391,5.8218455
857,9.997642,10.406428
858,8.990013,2.6226118
859,8.577934,13.219308
860,1.5933797,6.5091786
861,10.870698,5.6982822
862,9.992584,12.185447
863,9.887874,3.1374125
864,10.322108,3.110693
865,4.3888764,13.71486
866,10.814708,5.553117
867,2.2981565,9.378904
868,9.506722,2.5226107
869,2.5653677,3.749671
870,11.359961,10.035539
871,11.138761,6.606168
872,9.926354,9.735737
873,10.904898,6.5643125
874,9.3057165,2.9373696
875,10.556172,9.773238
876,11.51476,10.275383
877,4.2547345,8.41157
878,10.881889,5.602631
879,2.666132,3.7557087
880,-0.17744868,4.2493033
881,-0.24827842,4.1895475
882,10.06772,11.782076
883,9.890707,12.896731
884,2.7572231,3.7883198
885,0.008250141,4.4147124
886,-0.19193833,4.2271986
887,10.433541,10.742655
888,9.004809,2.6721063
889,10.893388,6.2716517
890,10.877715,5.724586
891,2.6709077,3.56488
892,9.229176,2.5367823
893,-0.17112546,4.2487407
894,9.981172,3.3201513
895,13.217745,1.7623014
896,-0.19481534,10.753059
897,10.124501,11.525655
898,8.336236,13.504223
899,9.558896,3.058021
900,9.534345,13.266702
901,2.258796,9.198246
902,9.639638,2.8084772
903,10.046654,12.2950945
